ID,sentence,TP,FP,FN,Precision,Recall,Fscore
375,Hatte Elvis Presley Kinder?,0,0,0,0,0,0
376,Ist Michelle Obama die Ehefrau von Barack Obama?,0,0,0,0,0,0
377,In welcher Stadt wohnt Sylvester Stallone?,1,0,0,1,1,1
378,Welche Bücher von Kerouac wurden von Viking Press verlegt?,0,0,3,0,0,0
379,Wer hat das Lied Hotel California geschrieben?,3,0,0,1,1,1
380,Was ist die Hauptstadt von Kanada?,1,0,0,1,1,1
381,Wer ist der Bürgermeister von Tel Aviv?,1,0,0,1,1,1
382,Welche Regierungsform hat Russland?,1,0,0,1,1,1
383,"Zeig mir das Buch, das Muhammad Ali geschrieben hat.",2,0,0,1,1,1
384,Wer hat als erstes den Mount Everest bestiegen?,4,0,0,1,1,1
385,Wieviele Sprachen werden in Kolumbien gesprochen?,1,0,0,1,1,1
386,Was ist die Währung der Tschechischen Republik?,1,0,0,1,1,1
387,Wo in Frankreich wird Schaumwein hergestellt?,0,0,1,0,0,0
388,Wann hat Boris Becker seine aktive Karriere beendet?,1,0,0,1,1,1
389,"Bei welchen Filmen, in denen Mickey Rourke mitspielt, hat Guy Ritchie Regie geführt?",0,0,1,0,0,0
390,In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?,0,0,2,0,0,0
391,Zeig mir Hemmingways Autobiographie.,1,24,0,0.04,1,0.07692308
392,Wie groß ist Amazon Eve?,1,0,0,1,1,1
393,Was sind die fünf Stadtteile von New York?,0,0,5,0,0,0
394,Gib mir alle kanadischen Grunge-Plattenfirmen.,1,0,0,1,1,1
395,In welchem Land entspringt der Ganges?,1,0,0,1,1,1
396,Wer hat Penguin Books gegründet?,1,0,0,1,1,1
397,Wer hat das Titellied für Games of Thrones geschrieben?,1,0,0,1,1,1
398,Wer ist der Präsident von Eritrea?,1,0,0,1,1,1
399,In welcher Stadt ist John F. Kennedy gestorben?,1,0,0,1,1,1
400,Was ist der höchste Berg in Australien?,1,0,0,1,1,1
401,Wer schreibt das Farmes' Almanac?,0,0,0,0,0,0
402,Zeig mir die Währung in China an.,1,0,0,1,1,1
403,Gib mir alle in Schweden geborenen Ozeanographen.,1,0,0,1,1,1
404,In welcher Stadt ist das Hauptquartier der Vereinten Nationen?,1,0,0,1,1,1
405,Ist Rita Wilson die Ehefrau von Tom Hanks?,0,0,0,0,0,0
406,In welchen Ländern wird Japanisch gesprochen?,5,0,0,1,1,1
407,Welcher von Tim Burtons Filmen hatte das höchste Budget?,0,0,1,0,0,0
408,Welches Museum in New York hat die meisten Besucher?,0,0,1,0,0,0
409,Was war das erste Queen-Album?,0,0,1,0,0,0
410,Was war der erste Name der Band Queens of the Stone Age?,1,0,0,1,1,1
411,Was war der letzte Film mit Alec Guinness?,1,0,0,1,1,1
412,"Gib mir alle Schauspieler, die in Last Action Hero mitgespielt haben.",10,0,0,1,1,1
413,Wer hat Pluto entdeckt?,1,0,0,1,1,1
,,9160,433,3693,0.9548629,0.7126741,0.81618106
,,,,,0.5123764,0.51960784,0.5138523
