QALD id,match status,QALD question,QueGG question,comment,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
73,0,In quale antico impero era possibile pagare con le fave di cacao?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Cocoa_bean> . },,0,1,1,0,0,0
74,0.96,Chi ├¿ l'editore di Forbes?,"""Chi ├¿ editore di Forbes?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri 
WHERE {
 res:Forbes dbo:editor ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Forbes> <http://dbpedia.org/ontology/editor> ?o . 

}",1,0,0,1,1,1
75,0.7816091954,Quante persone vivono nella capitale dell'Australia?,"""Quante persone vivono in Australia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num 
WHERE {
 res:Australia dbo:capital ?x .
 ?x dbo:populationTotal ?num .
}","select ?o 

{

 <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/populationTotal> ?o . 

}",0,1,1,0,0,0
76,0.9333333333,Quali surfisti professionisti sono nati in Australia?,"""a quale surfisti professionisti sono nati Australia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbo:occupation res:Surfing . 
 ?uri dbo:birthPlace res:Australia . 
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Australia> . ?s <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Surfing> . 

}",14,0,0,1,1,1
77,0,Quali societ├á di elettronica sono state fondate a Pechino?,,,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Electronics> . ?uri <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Beijing> . },,0,1,28,0,0,0
78,0.8421052632,Dammi tutti i videogiochi di Mean Hamster Software.,"""Dammi tutti i videogiochi di Sirius Software""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:VideoGame .
 ?uri dbo:publisher res:Mean_Hamster_Software . 
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Sirius_Software> . 

}",0,8,2,0,0,0
79,0,Quanti negozi Aldi ci sono?,,,SELECT DISTINCT ?number WHERE { <http://dbpedia.org/resource/Aldi> <http://dbpedia.org/ontology/numberOfLocations> ?number . },,0,1,1,0,0,0
80,0.8275862069,Qual ├¿ la capitale del Cameroon,"""Qual ├¿ capitale di Camerun?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cameroon> <http://dbpedia.org/ontology/capital> ?uri. },"select ?o 

{

 <http://dbpedia.org/resource/Cameroon> <http://dbpedia.org/ontology/capital> ?o . 

}",1,0,0,1,1,1
83,0.9,Dammi tutti i film diretti da Francis Ford Coppola.,"""Dammi tutti film dirigere da Francis Ford Coppola""",,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",30,0,0,1,1,1
84,0,Quali film di Tim Burton hanno avuto il budget pi├╣ alto?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbo:director res:Tim_Burton .
 ?uri dbo:budget ?b .
}
ORDER BY ?b
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
86,0,Chi era chiamato Rodzilla?,,,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbp:nickname ""Rodzilla""@en .
}",,0,1,1,0,0,0
88,0.8484848485,Dammi i nipoti di Elvis Presley.,"""Dammi la genitori di Elvis Presley""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elvis_Presley> <http://dbpedia.org/ontology/child> ?child . ?child <http://dbpedia.org/ontology/child> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Elvis_Presley> <http://dbpedia.org/ontology/parent> ?o . 

}",0,1,1,0,0,0
89,0,Quali film in cui recita Mickey Rourke sono stati diretti da Guy Ritchie?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Mickey_Rourke> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Guy_Ritchie> . },,0,1,9,0,0,0
90,0.7536231884,Quando ├¿ morto il creatore di Dracula?,"""Quando ├¿ ´┐¢ morto Conte Dracula?""",,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Count_Dracula> <http://dbpedia.org/ontology/creator> ?x . ?x <http://dbpedia.org/ontology/deathDate> ?date . },"select ?o 

{

 <http://dbpedia.org/resource/Count_Dracula> <http://dbpedia.org/ontology/deathDate> ?o . 

}",0,1,1,0,0,0
91,0,Da quale stato proviene il creatore di Miffy?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Miffy dbo:creator ?x .
 ?x dbo:nationality ?uri .
}",,0,1,1,0,0,0
92,0.9473684211,Qual ├¿ il vero nome di Batman?,"""Qual ├¿ vero nome di Batman?""",,SELECT DISTINCT ?s WHERE { <http://dbpedia.org/resource/Batman> <http://dbpedia.org/property/alterEgo> ?s . },"select ?o 

{

 <http://dbpedia.org/resource/Batman> <http://dbpedia.org/property/alterEgo> ?o . 

}",1,0,0,1,1,1
93,0.9565217391,Quale forma di governo ha la Russia?,"""Quale forma di governo ha Russia?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russia> <http://dbpedia.org/ontology/governmentType> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Russia> <http://dbpedia.org/ontology/governmentType> ?o . 

}",1,0,0,1,1,1
94,0,Quante societ├á sono state fondate dal fondatore di Facebook?,,,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri . ?uri <http://dbpedia.org/ontology/foundedBy> ?uri . },,0,1,1,0,0,0
95,0.8,Dammi tutti i produttori canadesi di musica Grunge.,"""Dammi tutti i produttori di Grunge""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:RecordLabel .
 ?uri dbo:genre res:Grunge .
 ?uri dbo:country res:Canada .
}","select ?o 

{

 <http://dbpedia.org/resource/Grunge> <http://dbpedia.org/ontology/RecordLabel> ?o . 

}",0,1,1,0,0,0
96,0.8285714286,Quanti figli ebbe Benjamin Franklin?,"""Quale figlio ha Benjamin Franklin?""",,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?o . 

}",0,3,1,0,0,0
97,0.9722222222,Elenca i figli di Margaret Thatcher.,"""Elenca i figlio di Margaret Thatcher""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri 
WHERE {
 res:Margaret_Thatcher dbo:child ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/child> ?o . 

}",2,0,0,1,1,1
98,0.8172043011,Da quale regione proviene il Melon de Bourgogne?,"""Quale regione del vino ha Melon de Bourgogne?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri
WHERE {
 res:Melon_de_Bourgogne dbo:wineRegion ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Melon_de_Bourgogne> <http://dbpedia.org/ontology/wineRegion> ?o . 

}",4,0,0,1,1,1
99,0.8285714286,Chi ├¿ il figlio maggiore di Meryl Streep?,"""Chi ├¿ figlio di Meryl Streep?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Meryl_Streep dbo:child ?uri . 
 ?uri dbo:birthDate ?d .
}
ORDER BY ASC(?d)
OFFSET 0 LIMIT 1","select ?o 

{

 <http://dbpedia.org/resource/Meryl_Streep> <http://dbpedia.org/ontology/child> ?o . 

}",1,2,0,0.3333333333,1,0.5
102,0.8333333333,Elenca tutti i giochi di GMT.,"""Elenca tutti i genitori di GIMP""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbo:publisher res:GMT_Games .
}","select ?o 

{

 <http://dbpedia.org/resource/GIMP> <http://dbpedia.org/ontology/parent> ?o . 

}",0,1,7,0,0,0
103,0,L'Isar sfocia in un lago?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
ASK
WHERE {
 ?x dbo:inflow res:Isar .
 ?x rdf:type dbo:Lake . 
}",,0,1,1,0,0,0
104,0.7741935484,Quali aeroporti sono serviti da Yeti Airlines?,"""Quali aeroporti servire Yeti Airlines Domestic?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?o . 

}",0,1,3,0,0,0
105,0,Quale societ├á indiana ha il maggior numero di dipendenti?,,,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/India> . ?uri <http://dbpedia.org/ontology/numberOfEmployees> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,,0,1,1,0,0,0
106,0.8148148148,Quale colore esprime lealt├á?,"""Quale colore esprime IYCM?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/connotation> <http://dbpedia.org/resource/Loyalty> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/connotation> <'IYCM'> . 

}",0,1,1,0,0,0
107,0,Quale citt├á ha il maggior numero di abitanti?,,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 ?uri rdf:type dbo:City . 
 ?uri dbo:populationTotal ?pop . 
}
ORDER BY DESC(?pop)
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
108,1,Chi ha creato Wikipedia?,"""Chi ha creato Wikipedia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:Wikipedia dbo:author ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Wikipedia> <http://dbpedia.org/ontology/developer> ?o . 

}",0,1,2,0,0,0
111,0.8641975309,Quanti gruppi etnici vivono in Slovenia?,"""Quante grupos ´┐¢tnicos vivono in Slovenia?""",,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Slovenia> <http://dbpedia.org/ontology/ethnicGroup> ?uri . },"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 

{

 <http://dbpedia.org/resource/Slovenia> <http://dbpedia.org/ontology/ethnicGroup> ?objOfProp . 

}",1,0,0,1,1,1
112,0.7666666667,Chi ├¿ il presidente dell'Eritrea?,"""Chi ├¿ residenza di Eritrea?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leader> ?uri . <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leaderTitle> 'President'@en . },"select ?o 

{

 <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/residence> ?o . 

}",0,1,1,0,0,0
113,0.9350649351,Quanti film ha diretto Stanley Kubrick?,"""Quale film ha diretto Stanley Kubrick?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",16,0,0,1,1,1
114,0.9066666667,Quando ├¿ stato completato il Titanic?,"""Quando ´┐¢ stato completato RMS Titanic?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date
WHERE { 
 res:RMS_Titanic dbo:completionDate ?date . 
}","select ?o 

{

 <http://dbpedia.org/resource/Titanic> <http://dbpedia.org/ontology/completionDate> ?o . 

}",0,1,1,0,0,0
115,0.8450704225,Quante pagine ha Guerra e Pace?,"""Quale numero di pagine ha Guerra e pace?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?n
WHERE {
 res:War_and_Peace dbo:numberOfPages ?n .
}","select ?o 

{

 <http://dbpedia.org/resource/War_and_Peace> <http://dbpedia.org/ontology/numberOfPages> ?o . 

}",1,0,0,1,1,1
116,0,Chi ├¿ il giocatore pi├╣ giovane della Premier League?,,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbo:team ?x . 
 ?x dbo:league res:Premier_League . 
 ?uri dbo:birthDate ?y . 
} 
ORDER BY DESC(?y) 
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
117,0.8684210526,Qual ├¿ la montagna pi├╣ alta in Italia?,"""qual ├¿ montagna il pi´┐¢ alto in Italia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
 ?uri rdf:type dbo:Mountain .
 ?uri dbo:locatedInArea res:Italy .
 ?uri dbo:elevation ?num .
}
ORDER BY DESC(?num)
OFFSET 0 LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Italy> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
118,0.9841269841,Quanto ├¿ alta Claudia Schiffer?,"""Quanto ├¿ alta Claudia Schiffer ?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?height 
WHERE { 
 res:Claudia_Schiffer dbo:height ?height . 
}","select ?o 

{

 <http://dbpedia.org/resource/Claudia_Schiffer> <http://dbpedia.org/ontology/height> ?o . 

}",1,0,0,1,1,1
119,0.8172043011,Chi fu il vicepresidente di John F. Kennedy?,"""Chi ├¿ vice presidente di John Fitzgerald Kennedy?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { res:John_F._Kennedy dbo:vicePresident ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/vicePresident> ?o . 

}",1,0,0,1,1,1
120,0,Quale societ├á sussidiaria di Lufthansa serve sia Dortmund che Berlin Tegel?,,,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri 
WHERE {
 res:Lufthansa dbo:subsidiary ?uri .
 ?uri dbo:targetAirport res:Dortmund_Airport .
 ?uri dbo:targetAirport res:Berlin_Tegel_Airport .
}",,0,1,22,0,0,0
121,0.8095238095,Chi fu il successore di John F. Kennedy?,"""Chi ├¿ successore di John Fitzgerald Kennedy?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:John_F._Kennedy dbo:successor ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/successor> ?o . 

}",3,0,0,1,1,1
122,0.8571428571,Chi ha composto la colonna sonora di Titanic di Cameron?,"""Chi ha composto la colonna sonora Titanic?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> <http://dbpedia.org/ontology/musicComposer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Titanic_(1997_film)> <http://dbpedia.org/ontology/musicComposer> ?o . 

}",1,0,0,1,1,1
123,0.8181818182,Che film ha diretto Kurosawa?,"""Quale film ha diretto Akira Kurosawa?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
 ?uri rdf:type dbo:Film .
 ?uri dbo:director res:Akira_Kurosawa .
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Akira_Kurosawa> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",32,0,0,1,1,1
124,0,Quale casa discografica ha inciso il primo album di Elvis?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?x rdf:type dbo:Album .
 ?x dbo:artist res:Elvis_Presley .
 ?x dbo:releaseDate ?y .
 ?x dbo:recordLabel ?uri .
}
ORDER BY ASC(?y) 
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
125,0.9473684211,Qual ├¿ il fuso orario di Roma?,"""Qual ├¿ fuso orario di Roma?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rome> <http://dbpedia.org/ontology/timeZone> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Rome> <http://dbpedia.org/ontology/timeZone> ?o . 

}",0,1,1,0,0,0
126,0.9811320755,Dammi la valuta della Cina.,"""Dammi la valuta della Cina""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri
WHERE { 
 res:China dbo:currency ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/China> <http://dbpedia.org/ontology/currency> ?o . 

}",1,0,0,1,1,1
127,1,Chi ha sviluppato DBpedia?,"""Chi ha sviluppato DBpedia?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?o . 

}",3,0,0,1,1,1
129,0.8148148148,Chi ├¿ il re dei Paesi Bassi?,"""Chi ├¿ capo di Paesi Bassi?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?uri . ?uri a <http://dbpedia.org/ontology/Royalty> . },"select ?o 

{

 <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?o . 

}",2,0,0,1,1,1
130,0.925,In quale citt├á ├¿ morto Nikos Kazantzakis,"""a quale citt´┐¢ ├¿ morto Nikos Kazantzakis?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nikos_Kazantzakis> <http://dbpedia.org/ontology/deathPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Town> . },"select ?o 

{

 <http://dbpedia.org/resource/Nikos_Kazantzakis> <http://dbpedia.org/ontology/deathPlace> ?o . 

}",3,0,0,1,1,1
131,0,Chi fu il padre della regina Elisabetta II?,,,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/property/>
SELECT DISTINCT ?uri
WHERE { 
 res:Elizabeth_II dbp:father ?uri .
}",,0,1,1,0,0,0
132,0,Dammi la lista di tutti gli uccelli in via di estinzione.,,,SELECT DISTINCT ?uri ?p WHERE { ?uri a <http://dbpedia.org/ontology/Bird> . { ?uri <http://dbpedia.org/ontology/conservationStatus> 'CR'^^<http://www.w3.org/2001/XMLSchema#string> . } UNION { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Critically_endangered_animals> . } },,0,1,1,0,0,0
133,0,Quanti abitanti ha la citt├á pi├╣ grande del Canada?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num
WHERE {
 res:Canada dbo:largestCity ?city . 
 ?city dbo:populationTotal ?num .
}",,0,1,1,0,0,0
134,0.75,A quali conflitti militari ha partecipato Lawrence d'Arabia?,"""a Quale conflitto ha partecipato Lance Bass?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 res:T._E._Lawrence dbo:battle ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/Lance_Bass> <http://dbpedia.org/ontology/battle> ?o . 

}",0,1,10,0,0,0
135,0,Quale libro ha il maggior numero di pagine?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 ?uri rdf:type dbo:Book . 
 ?uri dbo:numberOfPages ?n .
}
ORDER BY DESC(?n)
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
136,0.9454545455,In quale stato nasce il Nilo?,"""in Quale stato nasce Nilo?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Nile dbo:sourceCountry ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Nile> <http://dbpedia.org/property/mouthLocation> ?o . 

}",0,1,2,0,0,0
137,0,Qual ├¿ il pilota di Formula 1 con pi├╣ gare?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FormulaOneRacer> . ?uri <http://dbpedia.org/ontology/races> ?x . } ORDER BY DESC(?x) OFFSET 0 LIMIT 1,,0,1,1,0,0,0
138,0.7333333333,Quali societ├á producono aeroscafi?,"""Quali navi producono NASA?""",,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Hovercraft> . },"select ?o 

{

 <http://dbpedia.org/resource/NASA> <http://dbpedia.org/ontology/product> ?o . 

}",0,1,3,0,0,0
140,0,In quale citt├á ├¿ nato il presidente del Montenegro?,,,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/office> <http://dbpedia.org/resource/President_of_Montenegro> . ?x <http://dbpedia.org/ontology/birthPlace> ?uri . ?uri a <http://dbpedia.org/ontology/City> . },,0,1,5,0,0,0
141,0.9538461538,In quale stato ├¿ nato Bill Gates?,"""a quale stato ├¿ nato Bill Gates?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bill_Gates> <http://dbpedia.org/ontology/birthPlace> ?x . ?x <http://dbpedia.org/ontology/country> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Bill_Gates> <http://dbpedia.org/ontology/birthPlace> ?o . 

}",1,2,0,0.3333333333,1,0.5
142,0.7407407407,In quali stati si parla giapponese?,"""in Quale software ´┐¢ parlato Lingua giapponese?""",,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Japanese_language> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Japanese_language> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}",0,1,5,0,0,0
143,0.9302325581,Mostrami il libro scritto da Muhammad Ali.,"""Mostrami l' libro ha scritto da Muhammad Ali""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri rdf:type dbo:Book . 
 ?uri dbo:author res:Muhammad_Ali . 
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Muhammad_Ali> . 

}",1,0,0,1,1,1
145,0.8852459016,Qual ├¿ il prefisso di Berlino?,"""Qual ├¿ prefisso di Berlino Est?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?string 
WHERE {
 res:Berlin dbo:areaCode ?string .
}","select ?o 

{

 <http://dbpedia.org/resource/Berlin> <http://dbpedia.org/ontology/areaCode> ?o . 

}",0,1,1,0,0,0
146,0.8292682927,Dammi tutti gli attori che hanno recitato in Last Action Hero.,"""Dammi tutti persona Chi hanno ha recitato in Last Action Hero""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:Last_Action_Hero dbo:starring ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/Last_Action_Hero> <http://dbpedia.org/ontology/starring> ?o . 

}",8,1,1,0.8888888889,0.8888888889,0.8888888889
147,0.987654321,Quali sono i soprannomi di San Francisco?,"""Qual sono i soprannomi di San Francisco?""",,SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/San_Francisco> <http://dbpedia.org/property/nickname> ?string . },"select ?o 

{

 <http://dbpedia.org/resource/San_Francisco> <http://dbpedia.org/property/nickname> ?o . 

}",0,1,1,0,0,0
148,0,Qual ├¿ stato il primo album dei Queen?,,,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Album> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Queen_(band)> . ?uri <http://dbpedia.org/ontology/releaseDate> ?d . } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,,0,1,1,0,0,0
